"track_name","artist.s._name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","multiple_artist","top100","rank","Major","Minor","CSharp","FSharp","D","ASharp","GSharp","G","B","A","E","DSharp","F","taylor_swift","bad_bunny","the_weeknd","drake","peso_pluma"
"Blinding Lights","the weeknd",1,2019,11,29,43899,69,3703895074,672,199,NA,20,NA,171,50,38,80,0,0,9,7,0,1,"Top 10",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Shape of You","ed sheeran",1,2017,1,6,32181,10,3562543890,33,0,NA,7,0,96,83,93,65,58,0,9,8,0,1,"Top 10",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Someone You Loved","lewis capaldi",1,2018,11,8,17836,53,2887241814,440,125,NA,0,NA,110,50,45,41,75,0,11,3,0,1,"Top 10",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dance Monkey","tones and i",1,2019,5,10,24529,0,2864791672,533,167,NA,6,NA,98,82,54,59,69,0,18,10,0,1,"Top 10",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sunflower - Spider-Man: Into the Spider-Verse","post malone, swae lee",2,2018,10,9,24094,78,2808096550,372,117,843,4,69,90,76,91,50,54,0,7,5,1,1,"Top 10",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"One Dance","drake, wizkid, kyla",3,2016,4,4,43257,24,2713922350,433,107,NA,0,26,104,77,36,63,1,0,36,5,1,1,"Top 10",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"STAY (with Justin Bieber)","justin bieber, the kid laroi",2,2021,7,9,17050,36,2665343922,492,99,798,31,0,170,59,48,76,4,0,10,5,1,1,"Top 10",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Believer","imagine dragons",1,2017,1,31,18986,23,2594040133,250,121,NA,10,31,125,77,74,78,4,0,23,11,0,1,"Top 10",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Closer","the chainsmokers, halsey",2,2016,5,31,28032,0,2591224264,315,159,NA,0,44,95,75,64,52,41,0,11,3,1,1,"Top 10",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Starboy","the weeknd, daft punk",2,2016,9,21,29536,79,2565529693,281,137,NA,1,140,186,68,49,59,16,0,13,28,1,1,"Top 10",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Perfect","ed sheeran",1,2017,1,1,16596,13,2559529074,7,0,NA,0,0,95,60,17,45,16,0,11,2,0,1,"Top 50",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Heat Waves","glass animals",1,2020,6,28,22543,63,2557975762,386,144,707,28,NA,81,76,53,53,44,0,9,9,0,1,"Top 50",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"As It Was","harry styles",1,2022,3,31,23575,130,2513188493,403,198,863,46,NA,174,52,66,73,34,0,31,6,0,1,"Top 50",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seï¿½ï¿½o","shawn mendes, camila cabello",2,2019,6,19,15010,2,2484812918,453,50,NA,1,8,117,76,77,52,4,0,8,3,1,1,"Top 50",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Say You Won't Let Go","james arthur",1,2016,9,9,15722,16,2420461338,231,37,NA,0,13,99,40,45,56,69,0,9,5,0,1,"Top 50",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"lovely - Bonus Track","billie eilish, khalid",2,2017,8,11,15032,30,2355719893,221,96,NA,2,136,115,35,12,30,93,0,10,3,1,1,"Top 50",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
